dates UTC, chainage (m)
2001-11-12 23:30:59+00:00,239.2
2001-11-28 23:31:04+00:00,233.5
2001-12-30 23:31:06+00:00,246.2
2002-01-08 23:25:29+00:00,244.1
2002-02-09 23:25:14+00:00,244.0
2002-02-16 23:31:23+00:00,238.1
2002-03-29 23:25:08+00:00,224.7
2002-05-16 23:25:27+00:00,231.8
2002-06-24 23:30:57+00:00,214.8
2002-07-03 23:24:46+00:00,220.4
2002-07-10 23:30:55+00:00,209.8
2002-08-11 23:30:41+00:00,233.6
2002-09-12 23:30:24+00:00,233.8
2002-09-21 23:24:30+00:00,239.9
2002-10-14 23:30:13+00:00,242.1
2002-10-23 23:24:32+00:00,244.8
2002-10-30 23:30:18+00:00,251.4
2002-11-08 23:24:13+00:00,242.2
2002-12-01 23:30:46+00:00,225.4
2003-01-02 23:30:51+00:00,228.3
2003-01-18 23:30:59+00:00,233.3
2003-02-12 23:25:25+00:00,234.2
2003-03-07 23:31:15+00:00,226.2
2003-03-23 23:31:09+00:00,232.6
2003-04-17 23:25:05+00:00,200.4
2003-07-05 23:18:46+00:00,207.7
2003-07-21 23:19:03+00:00,226.4
2003-07-29 23:30:58+00:00,226.5
2003-08-22 23:19:37+00:00,213.2
2003-08-30 23:30:52+00:00,239.4
2003-09-16 23:13:52+00:00,228.4
2003-09-23 23:20:08+00:00,231.8
2003-10-25 23:20:33+00:00,218.1
2003-11-02 23:30:55+00:00,219.0
2003-11-26 23:21:00+00:00,223.8
2003-12-12 23:21:03+00:00,244.8
2003-12-20 23:31:21+00:00,233.0
2004-01-05 23:31:26+00:00,235.2
2004-01-21 23:31:32+00:00,237.7
2004-01-30 23:25:25+00:00,239.7
2004-02-06 23:31:37+00:00,227.0
2004-02-14 23:21:26+00:00,236.2
2004-02-15 23:25:51+00:00,229.6
2004-02-22 23:31:36+00:00,219.4
2004-03-17 23:21:37+00:00,214.9
2004-04-02 23:21:48+00:00,219.2
2004-04-10 23:31:43+00:00,220.9
2004-04-26 23:31:40+00:00,218.8
2004-05-04 23:22:45+00:00,209.1
2004-05-12 23:31:42+00:00,205.8
2004-05-20 23:23:13+00:00,221.4
2004-06-13 23:31:33+00:00,253.3
2004-06-21 23:24:09+00:00,236.6
2004-06-29 23:31:32+00:00,270.8
2004-07-07 23:24:38+00:00,262.9
2004-07-15 23:31:29+00:00,242.5
2004-07-23 23:25:02+00:00,236.2
2004-07-31 23:31:21+00:00,234.4
2004-08-08 23:25:20+00:00,233.1
2004-08-24 23:25:47+00:00,242.7
2004-09-09 23:26:13+00:00,242.3
2004-09-10 23:25:24+00:00,229.6
2004-09-25 23:26:36+00:00,253.9
2004-10-27 23:27:16+00:00,251.8
2004-11-12 23:27:32+00:00,217.4
2004-11-28 23:27:52+00:00,222.5
2004-12-22 23:31:48+00:00,229.5
2004-12-30 23:28:26+00:00,230.8
2004-12-31 23:26:05+00:00,226.9
2005-01-15 23:28:38+00:00,226.5
2005-02-01 23:25:48+00:00,231.8
2005-03-04 23:29:21+00:00,218.4
2005-04-13 23:32:05+00:00,230.6
